id       ,user_id,opponent_race_result_id,result,type    ,drift_points,settings,created_at                ,updated_at,coins_reward,elo_delta,opponent_elo_delta
129307513,2822085,128685144              ,us    ,battle  ,4878        ,        ,2017-02-01 00:00:35.735996,          ,11000       ,10       ,-5
129307514,2784340,129305589              ,us    ,battle  ,767         ,        ,2017-02-01 00:00:35.745696,          ,1000        ,14       ,-5
129307515,106920 ,128560374              ,us    ,battle  ,5786        ,        ,2017-02-01 00:00:35.753786,          ,11000       ,10       ,-5
129307516,2863603,127462796              ,them  ,quali   ,835         ,        ,2017-02-01 00:00:35.902579,          ,1500        ,0        ,0
129307517,944448 ,126636743              ,them  ,quali   ,4073        ,        ,2017-02-01 00:00:36.340668,          ,1500        ,0        ,0
129307518,147827 ,128965618              ,them  ,battle  ,1436        ,        ,2017-02-01 00:00:36.344666,          ,3000        ,-5       ,10
129307519,2613351,128617159              ,them  ,battle  ,3458        ,        ,2017-02-01 00:00:36.428611,          ,7000        ,-5       ,12
129307520,380503 ,128543045              ,them  ,quali   ,462         ,        ,2017-02-01 00:00:36.625151,          ,1500        ,0        ,0
129307521,2826769,128530658              ,them  ,quali   ,3478        ,        ,2017-02-01 00:00:36.963924,          ,1500        ,0        ,0
129307522,2903536,128548915              ,us    ,battle  ,1651        ,        ,2017-02-01 00:00:37.093129,          ,7000        ,13       ,-5
129307523,907803 ,129170233              ,us    ,battle  ,4000        ,        ,2017-02-01 00:00:37.245602,          ,9000        ,15       ,-5
129307524,1797577,128893710              ,us    ,battle  ,4459        ,        ,2017-02-01 00:00:37.721562,          ,11000       ,15       ,-5
129307525,1028632,129294652              ,us    ,battle  ,1707        ,        ,2017-02-01 00:00:38.534311,          ,7000        ,14       ,-5
129307526,1042723,128967431              ,us    ,battle  ,4227        ,        ,2017-02-01 00:00:39.440816,          ,9000        ,13       ,-5
129307527,272280 ,128734505              ,them  ,battle  ,1923        ,        ,2017-02-01 00:00:41.615606,          ,7000        ,-5       ,10
129307528,2236307,128690930              ,them  ,battle  ,3132        ,        ,2017-02-01 00:00:41.686037,          ,7000        ,-5       ,10
129307529,153530 ,129307205              ,them  ,quali   ,1704        ,        ,2017-02-01 00:00:41.930648,          ,1500        ,0        ,0
129307530,2898005,128588589              ,them  ,battle  ,1566        ,        ,2017-02-01 00:00:42.105449,          ,3000        ,-5       ,10
129307531,661896 ,128586683              ,them  ,quali   ,1691        ,        ,2017-02-01 00:00:42.296363,          ,1500        ,0        ,0
129307532,1877773,128530822              ,us    ,battle  ,5718        ,        ,2017-02-01 00:00:42.325276,          ,11000       ,12       ,-5
129307533,2882607,128587237              ,them  ,battle  ,2208        ,        ,2017-02-01 00:00:42.722248,          ,5000        ,-5       ,10
129307534,1925429,128569091              ,them  ,battle  ,2550        ,        ,2017-02-01 00:00:43.129164,          ,5000        ,-5       ,10
129307535,493327 ,128544890              ,them  ,battle  ,3188        ,        ,2017-02-01 00:00:43.22169 ,          ,1700        ,-5       ,10
129307536,1822468,128940982              ,us    ,battle  ,3266        ,        ,2017-02-01 00:00:44.55469 ,          ,7000        ,11       ,-5
129307537,1853410,128829135              ,us    ,battle  ,2672        ,        ,2017-02-01 00:00:45.037287,          ,3800        ,17       ,-5
129307538,1933339,129253573              ,them  ,quali   ,4430        ,        ,2017-02-01 00:00:45.058214,          ,1500        ,0        ,0
129307539,259787 ,129175121              ,us    ,battle  ,2612        ,        ,2017-02-01 00:00:45.182511,          ,9000        ,15       ,-5
129307540,655932 ,129280111              ,them  ,battle  ,1654        ,        ,2017-02-01 00:00:45.237422,          ,7000        ,-5       ,12
129307541,2909955,128618441              ,us    ,battle  ,3598        ,        ,2017-02-01 00:00:45.315864,          ,7000        ,15       ,-5
129307542,1883683,128866235              ,them  ,battle  ,1927        ,        ,2017-02-01 00:00:45.539736,          ,7000        ,-5       ,12
129307543,2912022,128812926              ,us    ,battle  ,3546        ,        ,2017-02-01 00:00:45.953989,          ,3800        ,15       ,-5
129307544,2873336,128857855              ,us    ,battle  ,3771        ,        ,2017-02-01 00:00:46.091466,          ,11000       ,13       ,-5
129307545,1319170,129146726              ,them  ,battle  ,2980        ,        ,2017-02-01 00:00:46.735934,          ,7000        ,-5       ,15
129307546,447229 ,128536224              ,us    ,battle  ,5121        ,        ,2017-02-01 00:00:46.984132,          ,11000       ,10       ,-5
129307547,2924845,128537923              ,us    ,battle  ,1244        ,        ,2017-02-01 00:00:47.371808,          ,3800        ,13       ,-5
129307548,2640655,128959299              ,them  ,battle  ,1466        ,        ,2017-02-01 00:00:47.726713,          ,7000        ,-5       ,10
129307549,2863778,128567883              ,them  ,battle  ,3211        ,        ,2017-02-01 00:00:48.025617,          ,5000        ,-5       ,10
129307550,2851529,128741266              ,them  ,battle  ,2679        ,        ,2017-02-01 00:00:48.398524,          ,3000        ,-5       ,10
129307551,2766974,128779215              ,us    ,battle  ,2631        ,        ,2017-02-01 00:00:48.655159,          ,7000        ,15       ,-5
129307552,2926575,128515761              ,them  ,battle  ,956         ,        ,2017-02-01 00:00:48.859258,          ,1700        ,-5       ,10
129307553,915837 ,129307374              ,them  ,quali   ,2346        ,        ,2017-02-01 00:00:49.198788,          ,1500        ,0        ,0
129307554,1473878,129217509              ,us    ,battle  ,4404        ,        ,2017-02-01 00:00:49.737632,          ,9000        ,10       ,-5
129307555,2890786,129188146              ,them  ,battle  ,631         ,        ,2017-02-01 00:00:50.14698 ,          ,3000        ,-5       ,10
129307556,2692690,129300441              ,them  ,battle  ,1239        ,        ,2017-02-01 00:00:50.521989,          ,3000        ,-5       ,10
129307557,2873778,128588759              ,us    ,battle  ,3998        ,        ,2017-02-01 00:00:51.076296,          ,9000        ,10       ,-5
129307558,2426205,129300578              ,them  ,battle  ,78          ,        ,2017-02-01 00:00:51.799716,          ,1700        ,-5       ,10
129307559,405425 ,129052015              ,us    ,battle  ,1625        ,        ,2017-02-01 00:00:51.901078,          ,7000        ,15       ,-5
129307560,2759529,128481432              ,us    ,battle  ,3335        ,        ,2017-02-01 00:00:52.362239,          ,9000        ,15       ,-5
129307561,2624550,128761956              ,us    ,battle  ,2001        ,        ,2017-02-01 00:00:52.57196 ,          ,9000        ,12       ,-5
129307562,541631 ,128519728              ,us    ,battle  ,3968        ,        ,2017-02-01 00:00:53.076347,          ,7000        ,10       ,-5
129307563,1597340,128525342              ,them  ,battle  ,502         ,        ,2017-02-01 00:00:53.098825,          ,3000        ,-5       ,10
129307564,2032767,128732968              ,us    ,battle  ,1536        ,        ,2017-02-01 00:00:53.416919,          ,3800        ,15       ,-5
129307565,2945877,129307304              ,them  ,battle  ,283         ,        ,2017-02-01 00:00:53.591573,          ,700         ,-5       ,10
129307566,282799 ,128507966              ,us    ,battle  ,2659        ,        ,2017-02-01 00:00:54.981506,          ,7000        ,17       ,-5
129307567,2903426,129253520              ,us    ,battle  ,4787        ,        ,2017-02-01 00:00:55.652158,          ,9000        ,10       ,-5
129307568,2928936,128565502              ,us    ,battle  ,1911        ,        ,2017-02-01 00:00:55.766034,          ,3800        ,13       ,-5
129307569,785329 ,128579638              ,them  ,battle  ,1783        ,        ,2017-02-01 00:00:56.671972,          ,5000        ,-5       ,12
129307570,2676832,129274782              ,them  ,battle  ,912         ,        ,2017-02-01 00:00:57.149546,          ,1700        ,-5       ,10
129307571,2322346,129202094              ,us    ,battle  ,3265        ,        ,2017-02-01 00:00:57.337241,          ,3800        ,13       ,-5
129307572,2874063,128581069              ,them  ,quali   ,            ,        ,2017-02-01 00:00:57.529296,          ,1500        ,0        ,0
129307573,2945859,129302608              ,us    ,battle  ,2009        ,        ,2017-02-01 00:00:57.565115,          ,1000        ,23       ,-5
129307574,334218 ,129243872              ,them  ,battle  ,2313        ,        ,2017-02-01 00:00:57.566683,          ,5000        ,-5       ,10
129307575,2945602,129281423              ,them  ,battle  ,737         ,        ,2017-02-01 00:00:57.582554,          ,700         ,-5       ,10
129307576,2386973,128617892              ,them  ,quali   ,2051        ,        ,2017-02-01 00:00:57.887603,          ,1500        ,0        ,0
129307577,552583 ,128511842              ,them  ,battle  ,3645        ,        ,2017-02-01 00:00:58.18971 ,          ,5000        ,-5       ,10
129307578,2442702,129307152              ,us    ,battle  ,3352        ,        ,2017-02-01 00:00:58.318646,          ,11000       ,14       ,-5
129307579,1108152,129081353              ,them  ,battle  ,2277        ,        ,2017-02-01 00:00:58.793957,          ,5000        ,-5       ,10
129307580,2548504,129147789              ,them  ,battle  ,2079        ,        ,2017-02-01 00:00:58.833311,          ,5000        ,-5       ,10
129307581,2797231,128856473              ,us    ,battle  ,5013        ,        ,2017-02-01 00:00:59.096705,          ,11000       ,13       ,-5
129307582,2745952,128742587              ,us    ,battle  ,2468        ,        ,2017-02-01 00:00:59.397188,          ,11000       ,17       ,-5
129307583,253078 ,129287174              ,us    ,battle  ,1563        ,        ,2017-02-01 00:01:00.630792,          ,7000        ,13       ,-5
129307584,2476278,129024247              ,us    ,battle  ,2466        ,        ,2017-02-01 00:01:00.891668,          ,7000        ,15       ,-5
129307585,460143 ,129302151              ,them  ,battle  ,1072        ,        ,2017-02-01 00:01:01.4146  ,          ,3000        ,-5       ,10
129307586,2767677,128485770              ,us    ,battle  ,1982        ,        ,2017-02-01 00:01:01.703609,          ,7000        ,12       ,-5
129307587,2858261,129306692              ,them  ,battle  ,786         ,        ,2017-02-01 00:01:01.892374,          ,1700        ,-5       ,10
129307588,2749376,128571799              ,them  ,battle  ,869         ,        ,2017-02-01 00:01:02.178251,          ,5000        ,-5       ,10
129307589,2440483,128905634              ,them  ,battle  ,717         ,        ,2017-02-01 00:01:02.477912,          ,7000        ,-5       ,10
129307590,1342226,128681668              ,them  ,battle  ,4412        ,        ,2017-02-01 00:01:02.834741,          ,7000        ,-5       ,10
129307591,289172 ,129193295              ,them  ,battle  ,            ,        ,2017-02-01 00:01:02.933501,          ,7000        ,-5       ,10
129307592,673933 ,128541354              ,them  ,battle  ,3011        ,        ,2017-02-01 00:01:03.643287,          ,7000        ,-5       ,10
129307593,2716166,129295679              ,them  ,battle  ,3736        ,        ,2017-02-01 00:01:04.822967,          ,5000        ,-5       ,10
129307594,2899119,129305470              ,them  ,battle  ,551         ,        ,2017-02-01 00:01:05.009043,          ,700         ,-5       ,10
129307595,2126245,128865925              ,us    ,battle  ,5892        ,        ,2017-02-01 00:01:06.169816,          ,11000       ,10       ,-5
129307596,1415410,129306352              ,us    ,battle  ,786         ,        ,2017-02-01 00:01:06.180371,          ,1000        ,15       ,-5
129307597,2850766,125809353              ,them  ,quali   ,713         ,        ,2017-02-01 00:01:06.404951,          ,1500        ,0        ,0
129307598,2771566,128788699              ,them  ,battle  ,1497        ,        ,2017-02-01 00:01:06.678394,          ,3000        ,-5       ,10
129307599,356119 ,129307424              ,them  ,quali   ,997         ,        ,2017-02-01 00:01:07.578484,          ,1500        ,0        ,0
129307600,2919557,128725881              ,them  ,battle  ,            ,        ,2017-02-01 00:01:07.703306,          ,3000        ,-5       ,15
129307601,2911319,128578145              ,them  ,battle  ,950         ,        ,2017-02-01 00:01:09.34774 ,          ,700         ,-5       ,10
129307602,2945874,129306971              ,them  ,quali   ,726         ,        ,2017-02-01 00:01:09.495237,          ,1500        ,0        ,0
129307603,536571 ,129285964              ,them  ,battle  ,1449        ,        ,2017-02-01 00:01:09.547572,          ,7000        ,-5       ,10
129307604,2924480,129297727              ,us    ,battle  ,1940        ,        ,2017-02-01 00:01:10.53649 ,          ,3800        ,13       ,-5
129307605,2926631,129290449              ,us    ,battle  ,1818        ,        ,2017-02-01 00:01:11.80399 ,          ,3800        ,15       ,-5
129307606,120681 ,128769622              ,them  ,battle  ,5746        ,        ,2017-02-01 00:01:12.863364,          ,7000        ,-5       ,10
129307607,67791  ,128871361              ,us    ,battle  ,6680        ,        ,2017-02-01 00:01:13.68558 ,          ,11000       ,12       ,-5
